User,Activity_Score,Influence_Score
ceo@company.com,200.0,0.016244314489928524
staff_04@company.com,200.0,0.016244314489928524
staff_15@company.com,200.0,0.016244314489928524
staff_07@company.com,200.0,0.016244314489928524
staff_11@company.com,200.0,0.016244314489928524
eng_lead@company.com,200.0,0.016244314489928524
staff_05@company.com,200.0,0.016244314489928524
staff_03@company.com,200.0,0.016244314489928524
staff_10@company.com,200.0,0.016244314489928524
staff_02@company.com,200.0,0.016244314489928524
hr_lead@company.com,200.0,0.016244314489928524
staff_12@company.com,200.0,0.016244314489928524
staff_06@company.com,200.0,0.016244314489928524
staff_13@company.com,200.0,0.016244314489928524
sales_lead@company.com,200.0,0.016244314489928524
staff_14@company.com,200.0,0.016244314489928524
staff_01@company.com,200.0,0.016244314489928524
staff_09@company.com,200.0,0.016244314489928524
cto@company.com,194.73684210526315,0.0
staff_08@company.com,194.73684210526315,0.0
